CSF
Job,Fabrication Site,Type of Work,Number,Work Description,Delivery,PM,Shipped
2032.0,CSF,Sequence,6,Underbuild - South,2/11/2021,Patrick K,
2004.0,CSF,Buyout,7,Bundles 23 – 23.1 (Area #8 Deck),5/25/2022,Patrick K,
2032.0,CSF,Ticket,7,,10/6/2021,Patrick K,
2032.0,CSF,Sequence,7,Underbuild - South,2/12/2021,Patrick K,
1927.0,CSF,,7,,6/25/2020,Patrick K,
1927.0,CSF,,8,,6/26/2020,Patrick K,
2032.0,CSF,Sequence,8,Underbuild - South,2/10/2021,Patrick K,
2004.0,CSF,Sequence,8,,6/1/2022,Patrick K,
2032.0,CSF,Sequence,9,Underbuild - North,4/6/2021,Patrick K,
2032.0,CSF,Ticket,9,,10/7/2021,Patrick K,
1927.0,CSF,,9,,7/6/2020,Patrick K,
2004.0,CSF,Sequence,9,COLUMN AND BRACING,8/7/2021,Patrick K,
2004.0,CSF,Buyout,9,Seq 35.1 and Seq 36 decking (at Delmar),6/8/2022,Patrick K,
2032.0,CSF,Sequence,97,Release #130,11/8/2021,Patrick K,
2031.0,CSF,Sequence,97,,11/16/2020,Patrick K,
2031.0,CSF,Sequence,97, Release #16,11/25/2020,Patrick K,
1927.0,CSF,,97,,2/24/2020,Patrick K,
1927.0,CSF,,98,,3/5/2020,Patrick K,
1927.0,CSF,,98,,3/19/2020,Patrick K,
2031.0,CSF,Sequence,98,,12/15/2020,Patrick K,
2032.0,CSF,Sequence,99,Release #152,11/8/2021,Patrick K,
2032.0,CSF,Sequence,99,Relase #149,11/8/2021,Patrick K,
2032.0,CSF,Sequence,99,Release #97,11/25/2021,Patrick K,
2032.0,CSF,Sequence,99,Overbuild,7/12/2021,Patrick K,
2032.0,CSF,Sequence,99,Release #87,8/16/2021,Patrick K,
2032.0,CSF,Sequence,99,Release #158,11/8/2021,Patrick K,
1927.0,CSF,,99,,3/19/2020,Patrick K,
2031.0,CSF,Sequence,99,Release #33,3/31/2021,Patrick K,
2032.0,CSF,Sequence,99.2,Release #179,12/22/2021,Patrick K,
2032.0,CSF,Sequence,99.3,Release #193,12/22/2021,Patrick K,
2032.0,CSF,Sequence,99.3,Release #197,1/3/2022,Patrick K,
