CSM
Job,Fabrication Site,Type of Work,Number,Work Description,Delivery,PM,Shipped,GoogleSheetRowNumber,GoogleSheetLink
2218,CSM,Sequence,3,EXTRACTOR PIT (EP-3)-T003 T010 T011 T019 T020,10/24/2022,Joel H,Missing W14X132- FED C3009-T020,4495,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4495
2218,CSM,Sequence,30,OFFICE-5,1/10/2023,Joel H,Cancelled by GC,4530,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4530
2218,CSM,Sequence,31,OFFICE-6,1/11/2023,Joel H,Cancelled by GC,4531,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4531
2218,CSM,Sequence,4,EXTRACTOR PIT (EP-4)-T004 T005 T006 T014 T020,10/25/2022,Joel H,T020 NOT SHIPPED,4497,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4497
2218,CSM,Sequence,5,EXTRACTOR PIT (EP-5)-T007 T014 T022,10/26/2022,Joel H,,4499,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4499
2218,CSM,Sequence,6,EXTRACTOR PIT (EP-6)-T007 T023,10/27/2022,Joel H,,4500,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4500
2224,CSM,Sequence,68,SDI-Heartland - Fabarc Seq 68B,12/16/2022,Joel H,,4566,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4566
2224,CSM,Sequence,68,SDI-Heartland - Fabarc Seq 68A,11/28/2022,Joel H,,4565,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4565
2218,CSM,Sequence,7,MEZZANINE (MEZZ-1)-T015 T024 T070,10/31/2022,Joel H,,4501,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4501
2218,CSM,Sequence,8,MEZZANINE (MEZZ-2)-T012 T015 T016 T025 T026 T070 ,11/1/2022,Joel H,,4502,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4502
2218,CSM,Sequence,9,MEZZANINE (MEZZ-3)-T016 T026 T027 T070,11/2/2022,Joel H,,4503,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D4503
