CSM
Job,Fabrication Site,Type of Work,Number,Work Description,Delivery,PM,Shipped,GoogleSheetRowNumber,GoogleSheetLink
2009,CSM,Sequence,36.2,PH-2009-505: Lintel Angles,9/30/2021,Darryl,,1314,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D1314
2009,CSM,Sequence,37,Tower,9/14/2021,Darryl,,1316,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D1316
2009,CSM,Sequence,38,Tower,9/16/2021,Darryl,,1317,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D1317
2009,CSM,Sequence,39,Tower,9/21/2021,Darryl,,1319,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D1319
2009,CSM,Ticket,39,Replacement Lintels Change Order Work,4/18/2022,Darryl,,1452,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D1452
2009,CSM,Sequence,4,PH-2009-299,6/28/2021,Darryl,,1243,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D1243
2009,CSM,Ticket,4,,3/30/2021,Darryl,,3310,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D3310
2009,CSM,Sequence,40,Tower,9/27/2021,Darryl,,1323,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D1323
2009,CSM,Ticket,40,Added stock material for lintel issue. ,4/4/2022,Darryl,,1454,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D1454
2009,CSM,Sequence,41,Tower,9/30/2021,Darryl,,1327,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D1327
2009,CSM,Ticket,41,Additional WT's. Change Order forthcoming. ,5/18/2022,Darryl,,1456,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D1456
2009,CSM,Sequence,42,Tower,10/11/2021,Darryl,,1330,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D1330
2009,CSM,Ticket,5,,4/2/2021,Darryl,,1419,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D1419
2009,CSM,Sequence,5,,5/6/2021,Darryl,,1245,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D1245
2009,CSM,Sequence,5.1,PH-2009-543: Added Per RFI 474 Response,10/11/2021,Darryl,,1246,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D1246
2009,CSM,Sequence,6,,5/11/2021,Darryl,,1247,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D1247
2009,CSM,Ticket,6,,4/27/2021,Darryl,,1420,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D1420
2009,CSM,Sequence,7,,5/13/2021,Darryl,,1248,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D1248
2009,CSM,Sequence,8,,5/18/2021,Darryl,,1249,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D1249
2009,CSM,Ticket,8,,5/11/2021,Darryl,,1421,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D1421
2009,CSM,Ticket,9,,5/20/2021,Darryl,,1422,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D1422
2009,CSM,Sequence,9,,5/20/2021,Darryl,,1250,https://docs.google.com/spreadsheets/d/1HIpS0gbQo8q1Pwo9oQgRFUqCNdud_RXS3w815jX6zc4/edit#gid=396215481&range=D1250
