date,status
2021-05-30,Started
2021-05-30,Successfully completed all files
2021-05-31,Started
2021-05-31,Successfully completed all files
2021-06-01,Started
2021-06-01,Y:production control\EVA REPORTS FOR THE DAY\2021\06 - JUNE\06012021\2028-T193-FED.xls
2021-06-01,Successfully completed all files
2021-06-02,Started
2021-06-02,Successfully completed all files
2021-06-03,Started
2021-06-03,Y:production control\EVA REPORTS FOR THE DAY\2021\06 - JUNE\06032021\2009-T027-CSM.xls
2021-06-03,Y:production control\EVA REPORTS FOR THE DAY\2021\06 - JUNE\06032021\2009-T028-CSF.xls
2021-06-03,Y:production control\EVA REPORTS FOR THE DAY\2021\06 - JUNE\06032021\2009-T029-CSM.xls
2021-06-03,Y:production control\EVA REPORTS FOR THE DAY\2021\06 - JUNE\06032021\2022-T029-FED.xls
2021-06-03,Y:production control\EVA REPORTS FOR THE DAY\2021\06 - JUNE\06032021\2031-T020-FED.xls
2021-06-03,Y:production control\EVA REPORTS FOR THE DAY\2021\06 - JUNE\06032021\2035-T037-FED.xls
2021-06-03,Successfully completed all files
2021-06-04,Started
2021-06-04,Y:production control\EVA REPORTS FOR THE DAY\2021\06 - JUNE\06042021\2009-T031-CSM.xls
2021-06-04,Y:production control\EVA REPORTS FOR THE DAY\2021\06 - JUNE\06042021\2009-T032-CSM.xls
2021-06-04,Y:production control\EVA REPORTS FOR THE DAY\2021\06 - JUNE\06042021\2009-T033-CSM.xls
2021-06-04,Y:production control\EVA REPORTS FOR THE DAY\2021\06 - JUNE\06042021\2028-498-FED.xls
2021-06-04,Successfully completed all files
2021-06-05,Started
2021-06-05,Successfully completed all files
2021-06-06,Started
2021-06-06,Successfully completed all files
2021-06-07,Started
2021-06-07,Y:production control\EVA REPORTS FOR THE DAY\2021\06 - JUNE\06072021\2009-T036-CSM.xls
2021-06-07,Y:production control\EVA REPORTS FOR THE DAY\2021\06 - JUNE\06072021\2028-T176B-CSF.xls
2021-06-07,Y:production control\EVA REPORTS FOR THE DAY\2021\06 - JUNE\06072021\2033-099-CSF.xls
2021-06-07,Y:production control\EVA REPORTS FOR THE DAY\2021\06 - JUNE\06072021\2110-T003-FED.xls
2021-06-07,Successfully completed all files
2021-06-08,Started
2021-06-08,Y:production control\EVA REPORTS FOR THE DAY\2021\06 - JUNE\06082021\2009-T034-CSM.xls
2021-06-08,Y:production control\EVA REPORTS FOR THE DAY\2021\06 - JUNE\06082021\2009-T035-CSM.xls
2021-06-08,Y:production control\EVA REPORTS FOR THE DAY\2021\06 - JUNE\06082021\2009-T037-CSM.xls
2021-06-08,Y:production control\EVA REPORTS FOR THE DAY\2021\06 - JUNE\06082021\2009-T039-CSM.xls
2021-06-08,Y:production control\EVA REPORTS FOR THE DAY\2021\06 - JUNE\06082021\2028-T165B-CSF.xls
2021-06-08,Y:production control\EVA REPORTS FOR THE DAY\2021\06 - JUNE\06082021\2110-T006-FED.xls
2021-06-08,Successfully completed all files
2021-06-09,Started
2021-06-09,Y:production control\EVA REPORTS FOR THE DAY\2021\06 - JUNE\06092021\2011-T070-CSM.xls
2021-06-09,Y:production control\EVA REPORTS FOR THE DAY\2021\06 - JUNE\06092021\2017-T005-CSF.xls
2021-06-09,Successfully completed all files
2021-06-10,Started
2021-06-10,Y:production control\EVA REPORTS FOR THE DAY\2021\06 - JUNE\06102021\2009-T020B-CSM.xls
2021-06-10,Successfully completed all files
2021-06-11,Started
2021-06-11,Y:production control\EVA REPORTS FOR THE DAY\2021\06 - JUNE\06112021\2009-T043-CSM.xls
2021-06-11,Y:production control\EVA REPORTS FOR THE DAY\2021\06 - JUNE\06112021\2011-T048-CSM.xls
2021-06-11,Y:production control\EVA REPORTS FOR THE DAY\2021\06 - JUNE\06112021\2011-T069-CSM.xls
2021-06-11,Y:production control\EVA REPORTS FOR THE DAY\2021\06 - JUNE\06112021\2028-T195-CSF.xls
2021-06-11,Y:production control\EVA REPORTS FOR THE DAY\2021\06 - JUNE\06112021\2028-T196-CSF.xls
2021-06-11,Y:production control\EVA REPORTS FOR THE DAY\2021\06 - JUNE\06112021\2035-T038-CSF.xls
2021-06-11,Y:production control\EVA REPORTS FOR THE DAY\2021\06 - JUNE\06112021\2101-010-ECSF.xls
2021-06-11,Y:production control\EVA REPORTS FOR THE DAY\2021\06 - JUNE\06112021\2120-001-FED.xls
2021-06-11,Successfully completed all files
2021-06-12,Started
2021-06-12,Successfully completed all files
2021-06-13,Started
2021-06-13,Successfully completed all files
2021-06-14,Started
